Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage,Metal,Date
Belgium,Antwerp,420.0,0.0,0.0,420.0,420.0,0.0,Aluminium Alloy,2025-11-03
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
Hong Kong SAR,Hong Kong SAR,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
Italy,Genoa,120.0,0.0,0.0,120.0,120.0,0.0,Aluminium Alloy,2025-11-03
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
Italy,Trieste,680.0,0.0,0.0,680.0,680.0,0.0,Aluminium Alloy,2025-11-03
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
Netherlands,Vlissingen,80.0,0.0,0.0,80.0,80.0,0.0,Aluminium Alloy,2025-11-03
Singapore,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
Spain,Barcelona,140.0,0.0,0.0,140.0,140.0,0.0,Aluminium Alloy,2025-11-03
Spain,Bilbao,60.0,0.0,0.0,60.0,60.0,0.0,Aluminium Alloy,2025-11-03
Taiwan,Kaohsiung,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-11-03
,,,,,,,,Aluminium Alloy,2025-11-03
,,,,,,,,Aluminium Alloy,2025-11-03
Belgium,Antwerp,3.0,0.0,0.0,3.0,0.0,3.0,Cobalt,2025-11-03
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt,2025-11-03
Netherlands,Rotterdam,68.0,0.0,0.0,68.0,0.0,68.0,Cobalt,2025-11-03
Singapore,Singapore,21.0,0.0,0.0,21.0,0.0,21.0,Cobalt,2025-11-03
USA,Baltimore,34.0,0.0,0.0,34.0,0.0,34.0,Cobalt,2025-11-03
,,,,,,,,Cobalt,2025-11-03
,,,,,,,,Cobalt,2025-11-03
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
Germany,Hamburg,3075.0,0.0,0.0,3075.0,3075.0,0.0,Copper,2025-11-03
Hong Kong SAR,Hong Kong SAR,9275.0,0.0,0.0,9275.0,9075.0,200.0,Copper,2025-11-03
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
Italy,Trieste,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
Korea (South),Busan,8225.0,500.0,0.0,8725.0,6775.0,1950.0,Copper,2025-11-03
Korea (South),Gwangyang,38925.0,0.0,0.0,38925.0,34900.0,4025.0,Copper,2025-11-03
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
Malaysia,Johor,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2025-11-03
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
Netherlands,Rotterdam,14200.0,0.0,150.0,14050.0,13625.0,425.0,Copper,2025-11-03
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
Saudi Arabia,Jeddah,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
Singapore,Singapore,7225.0,0.0,0.0,7225.0,5350.0,1875.0,Copper,2025-11-03
Spain,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
Spain,Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
Taiwan,Kaohsiung,52650.0,0.0,50.0,52600.0,50175.0,2425.0,Copper,2025-11-03
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
USA,Mobile,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
USA,New Orleans,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-11-03
,,,,,,,,Copper,2025-11-03
,,,,,,,,Copper,2025-11-03
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Hong Kong SAR,Hong Kong SAR,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Italy,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Italy,Leghorn,925.0,0.0,0.0,925.0,925.0,0.0,Lead,2025-11-03
Italy,Trieste,250.0,0.0,0.0,250.0,250.0,0.0,Lead,2025-11-03
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Singapore,Singapore,214875.0,0.0,4275.0,210600.0,100050.0,110550.0,Lead,2025-11-03
Spain,Barcelona,25.0,0.0,0.0,25.0,0.0,25.0,Lead,2025-11-03
Spain,Bilbao,50.0,0.0,0.0,50.0,50.0,0.0,Lead,2025-11-03
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
Taiwan,Kaohsiung,675.0,0.0,0.0,675.0,675.0,0.0,Lead,2025-11-03
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
USA,Detroit,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
USA,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-11-03
