Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage,Metal,Date
Belgium,Antwerp,420.0,0.0,0.0,420.0,400.0,20.0,Aluminium Alloy,2024-11-01
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
Italy,Genoa,120.0,0.0,0.0,120.0,120.0,0.0,Aluminium Alloy,2024-11-01
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
Italy,Trieste,720.0,0.0,0.0,720.0,700.0,20.0,Aluminium Alloy,2024-11-01
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
Netherlands,Vlissingen,80.0,0.0,0.0,80.0,80.0,0.0,Aluminium Alloy,2024-11-01
Singapore,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
Spain,Barcelona,220.0,0.0,0.0,220.0,220.0,0.0,Aluminium Alloy,2024-11-01
Spain,Bilbao,60.0,0.0,0.0,60.0,60.0,0.0,Aluminium Alloy,2024-11-01
Taiwan,Kaohsiung,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-11-01
,,,,,,,,Aluminium Alloy,2024-11-01
,,,,,,,,Aluminium Alloy,2024-11-01
Belgium,Antwerp,3.0,0.0,0.0,3.0,0.0,3.0,Cobalt,2024-11-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt,2024-11-01
Netherlands,Rotterdam,69.0,0.0,0.0,69.0,41.0,28.0,Cobalt,2024-11-01
Singapore,Singapore,24.0,0.0,0.0,24.0,3.0,21.0,Cobalt,2024-11-01
USA,Baltimore,34.0,0.0,0.0,34.0,0.0,34.0,Cobalt,2024-11-01
,,,,,,,,Cobalt,2024-11-01
,,,,,,,,Cobalt,2024-11-01
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-11-01
Germany,Hamburg,7525.0,0.0,0.0,7525.0,7525.0,0.0,Copper,2024-11-01
Italy,Leghorn,75.0,0.0,0.0,75.0,0.0,75.0,Copper,2024-11-01
Italy,Trieste,1000.0,0.0,0.0,1000.0,1000.0,0.0,Copper,2024-11-01
Korea (South),Busan,42050.0,0.0,0.0,42050.0,39850.0,2200.0,Copper,2024-11-01
Korea (South),Gwangyang,44500.0,0.0,0.0,44500.0,44500.0,0.0,Copper,2024-11-01
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-11-01
Malaysia,Johor,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2024-11-01
Malaysia,Port Klang,1350.0,0.0,0.0,1350.0,1350.0,0.0,Copper,2024-11-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-11-01
Netherlands,Rotterdam,38450.0,2725.0,250.0,40925.0,40500.0,425.0,Copper,2024-11-01
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-11-01
Singapore,Singapore,19175.0,0.0,0.0,19175.0,18600.0,575.0,Copper,2024-11-01
Spain,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-11-01
Spain,Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-11-01
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-11-01
Taiwan,Kaohsiung,116700.0,0.0,0.0,116700.0,108400.0,8300.0,Copper,2024-11-01
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-11-01
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-11-01
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-11-01
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-11-01
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-11-01
USA,Mobile,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2024-11-01
USA,New Orleans,500.0,0.0,0.0,500.0,500.0,0.0,Copper,2024-11-01
,,,,,,,,Copper,2024-11-01
,,,,,,,,Copper,2024-11-01
Belgium,Antwerp,900.0,0.0,0.0,900.0,300.0,600.0,Lead,2024-11-01
