Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage,Metal,Date
Belgium,Antwerp,420.0,0.0,0.0,420.0,420.0,0.0,Aluminium Alloy,2025-01-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
Italy,Genoa,120.0,0.0,0.0,120.0,120.0,0.0,Aluminium Alloy,2025-01-02
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
Italy,Trieste,700.0,0.0,0.0,700.0,680.0,20.0,Aluminium Alloy,2025-01-02
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
Netherlands,Vlissingen,80.0,0.0,0.0,80.0,80.0,0.0,Aluminium Alloy,2025-01-02
Singapore,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
Spain,Barcelona,220.0,0.0,0.0,220.0,220.0,0.0,Aluminium Alloy,2025-01-02
Spain,Bilbao,60.0,0.0,0.0,60.0,60.0,0.0,Aluminium Alloy,2025-01-02
Taiwan,Kaohsiung,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-01-02
,,,,,,,,Aluminium Alloy,2025-01-02
,,,,,,,,Aluminium Alloy,2025-01-02
Belgium,Antwerp,3.0,0.0,0.0,3.0,0.0,3.0,Cobalt,2025-01-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt,2025-01-02
Netherlands,Rotterdam,67.0,0.0,0.0,67.0,11.0,56.0,Cobalt,2025-01-02
Singapore,Singapore,24.0,0.0,0.0,24.0,3.0,21.0,Cobalt,2025-01-02
USA,Baltimore,34.0,0.0,0.0,34.0,0.0,34.0,Cobalt,2025-01-02
,,,,,,,,Cobalt,2025-01-02
,,,,,,,,Cobalt,2025-01-02
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-01-02
Germany,Hamburg,7525.0,0.0,0.0,7525.0,7525.0,0.0,Copper,2025-01-02
Italy,Leghorn,225.0,0.0,0.0,225.0,225.0,0.0,Copper,2025-01-02
Italy,Trieste,350.0,0.0,0.0,350.0,350.0,0.0,Copper,2025-01-02
Korea (South),Busan,44475.0,0.0,0.0,44475.0,43375.0,1100.0,Copper,2025-01-02
Korea (South),Gwangyang,44500.0,0.0,0.0,44500.0,44500.0,0.0,Copper,2025-01-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-01-02
Malaysia,Johor,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2025-01-02
Malaysia,Port Klang,2975.0,0.0,0.0,2975.0,2975.0,0.0,Copper,2025-01-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-01-02
Netherlands,Rotterdam,46725.0,0.0,0.0,46725.0,45525.0,1200.0,Copper,2025-01-02
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-01-02
Singapore,Singapore,18400.0,0.0,50.0,18350.0,18200.0,150.0,Copper,2025-01-02
Spain,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-01-02
Spain,Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-01-02
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-01-02
Taiwan,Kaohsiung,105625.0,0.0,1500.0,104125.0,88875.0,15250.0,Copper,2025-01-02
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-01-02
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-01-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-01-02
