REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,PORT KLANG,0,196399.0,5014.0,/,206.0,4677.0,158.0,2218.0,0.0,208672.0
Asia,SINGAPORE,0,4755.0,924.0,/,13734.0,82039.0,435.0,82898.0,313.0,185098.0
Asia,KAOHSIUNG,0,25564.0,13330.0,/,10607.0,3885.0,0.0,0.0,0.0,53386.0
Asia,REST OF,0,33156.0,14218.0,/,9404.0,2382.0,285.0,199.0,0.0,59644.0
TOTAL ASIA,NAN,0,259874.0,33486.0,0,33951.0,92983.0,878.0,85315.0,313.0,506800.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,64608.0,29764.0,/,34918.0,0.0,251.0,8695.0,111.0,138347.0
Europe,REST OF,500,42822.0,12655.0,/,920.0,2638.0,241.0,631.0,3.0,60410.0
TOTAL Europe,NAN,500,107430.0,42419.0,0,35838.0,2638.0,492.0,9326.0,114.0,198757.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,11335.0,6771.0,328,4129.0,0.0,0.0,12112.0,0.0,34675.0
TOTAL U.S.A.,NAN,0,11335.0,6771.0,328,4129.0,0.0,0.0,12112.0,0.0,34675.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,500,378639.0,82676.0,328,73918.0,95621.0,1370.0,106753.0,427.0,740232.0
