REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,SINGAPORE,0,4754.0,217.0,/,7648.0,108012.0,775.0,97920.0,608.0,219934.0
Asia,KAOHSIUNG,0,38140.0,12978.0,/,3506.0,351.0,0.0,570.0,0.0,55545.0
Asia,REST OF,0,51569.0,23742.0,/,6853.0,3913.0,278.0,3789.0,0.0,90144.0
TOTAL ASIA,NAN,0,94463.0,36937.0,0,18007.0,112276.0,1053.0,102279.0,608.0,365623.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,58949.0,8671.0,/,40650.0,0.0,786.0,13253.0,65.0,122374.0
Europe,REST OF,1765,6996.0,4980.0,/,1338.0,1573.0,416.0,1266.0,8.0,18342.0
TOTAL Europe,NAN,1765,65945.0,13651.0,0,41988.0,1573.0,1202.0,14519.0,73.0,140716.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,8676.0,247.0,11,4137.0,0.0,0.0,12588.0,3.0,25662.0
TOTAL U.S.A.,NAN,0,8676.0,247.0,11,4137.0,0.0,0.0,12588.0,3.0,25662.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,1765,169084.0,50835.0,11,64132.0,113849.0,2255.0,129386.0,684.0,532001.0
