REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO,TOTAL
ASIA,KOREA (SOUTH),GWANGYANG,0.0,609.0,18533.0,0.0,701.0,1473.0,0.0,0.0,0.0,21316.0
ASIA,KOREA (SOUTH),INCHEON,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,105.0
ASIA,MALAYSIA,JOHOR,0.0,6177.0,0.0,0.0,517.0,0.0,0.0,0.0,0.0,6694.0
ASIA,MALAYSIA,PORT KLANG,0.0,56419.0,1604.0,0.0,2774.0,14049.0,245.0,4831.0,0.0,79922.0
ASIA,SAUDI ARABIA,JEDDAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0
ASIA,SINGAPORE,SINGAPORE,0.0,4057.0,7217.0,0.0,40079.0,204039.0,680.0,21417.0,1044.0,278533.0
ASIA,TAIWAN,KAOHSIUNG,0.0,50.0,7539.0,0.0,22072.0,20098.0,0.0,11580.0,0.0,61339.0
ASIA,UAE,DUBAI,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
TOTAL ASIA,NAN,,0.0,67312.0,47595.0,0.0,86492.0,241052.0,1123.0,39127.0,1044.0,483745.0
,NAN,,,,,,,,,,,
EUROPE,BELGIUM,ANTWERP,0.0,1825.0,0.0,0.0,0.0,0.0,10.0,1941.0,0.0,3776.0
EUROPE,GERMANY,HAMBURG,0.0,0.0,17550.0,0.0,0.0,0.0,0.0,0.0,0.0,17550.0
EUROPE,ITALY,GENOA,0.0,580.0,0.0,0.0,0.0,0.0,315.0,0.0,0.0,895.0
EUROPE,ITALY,LEGHORN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,ITALY,TRIESTE,0.0,15825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15825.0
EUROPE,NETHERLANDS,AMSTERDAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,NETHERLANDS,MOERDIJK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,NETHERLANDS,ROTTERDAM,0.0,23962.0,15.0,0.0,9696.0,38.0,1515.0,501.0,1300.0,37027.0
EUROPE,NETHERLANDS,VLISSINGEN,0.0,0.0,0.0,0.0,877.0,147.0,0.0,0.0,0.0,1024.0
EUROPE,SPAIN,BARCELONA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,SPAIN,BILBAO,0.0,5.0,0.0,0.0,86.0,0.0,46.0,0.0,0.0,137.0
EUROPE,SWEDEN,HELSINGBORG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,UK,HULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,UK,LIVERPOOL,0.0,12243.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,12583.0
TOTAL EUROPE,NAN,,0.0,54440.0,17565.0,0.0,10999.0,185.0,1886.0,2442.0,1300.0,88817.0
,NAN,,,,,,,,,,,
NORTH AMERICAS,USA,BALTIMORE,0.0,4398.0,5914.0,0.0,3061.0,0.0,0.0,0.0,0.0,13373.0
NORTH AMERICAS,USA,CHICAGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH AMERICAS,USA,DETROIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH AMERICAS,USA,LOS ANGELES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH AMERICAS,USA,MOBILE,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
NORTH AMERICAS,USA,NEW ORLEANS,0.0,1101.0,24063.0,0.0,200.0,0.0,0.0,1860.0,0.0,27224.0
NORTH AMERICAS,USA,OWENSBORO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH AMERICAS,USA,TOLEDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL NORTH AMERICAS,NAN,,0.0,5648.0,29977.0,0.0,3261.0,0.0,0.0,1860.0,0.0,40746.0
,NAN,,,,,,,,,,,
,NAN,,,,,,,,,,,
