Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage,Metal,Date
Belgium,Antwerp,420.0,0.0,0.0,420.0,420.0,0.0,Aluminium Alloy,2025-02-03
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
Italy,Genoa,120.0,0.0,0.0,120.0,120.0,0.0,Aluminium Alloy,2025-02-03
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
Italy,Trieste,700.0,0.0,0.0,700.0,680.0,20.0,Aluminium Alloy,2025-02-03
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
Netherlands,Vlissingen,80.0,0.0,0.0,80.0,80.0,0.0,Aluminium Alloy,2025-02-03
Singapore,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
Spain,Barcelona,220.0,0.0,0.0,220.0,220.0,0.0,Aluminium Alloy,2025-02-03
Spain,Bilbao,60.0,0.0,0.0,60.0,60.0,0.0,Aluminium Alloy,2025-02-03
Taiwan,Kaohsiung,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-02-03
,,,,,,,,Aluminium Alloy,2025-02-03
,,,,,,,,Aluminium Alloy,2025-02-03
Belgium,Antwerp,3.0,0.0,0.0,3.0,0.0,3.0,Cobalt,2025-02-03
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt,2025-02-03
Netherlands,Rotterdam,65.0,0.0,0.0,65.0,11.0,54.0,Cobalt,2025-02-03
Singapore,Singapore,24.0,0.0,0.0,24.0,3.0,21.0,Cobalt,2025-02-03
USA,Baltimore,34.0,0.0,0.0,34.0,0.0,34.0,Cobalt,2025-02-03
,,,,,,,,Cobalt,2025-02-03
,,,,,,,,Cobalt,2025-02-03
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
Germany,Hamburg,7525.0,0.0,0.0,7525.0,7525.0,0.0,Copper,2025-02-03
Italy,Leghorn,275.0,0.0,0.0,275.0,50.0,225.0,Copper,2025-02-03
Italy,Trieste,75.0,0.0,50.0,25.0,0.0,25.0,Copper,2025-02-03
Korea (South),Busan,38825.0,1500.0,1300.0,39025.0,33075.0,5950.0,Copper,2025-02-03
Korea (South),Gwangyang,44500.0,0.0,0.0,44500.0,36375.0,8125.0,Copper,2025-02-03
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
Malaysia,Johor,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2025-02-03
Malaysia,Port Klang,2925.0,0.0,0.0,2925.0,2925.0,0.0,Copper,2025-02-03
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
Netherlands,Rotterdam,45725.0,0.0,125.0,45600.0,44500.0,1100.0,Copper,2025-02-03
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
Saudi Arabia,Jeddah,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
Singapore,Singapore,19925.0,0.0,200.0,19725.0,19450.0,275.0,Copper,2025-02-03
Spain,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
Spain,Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
Taiwan,Kaohsiung,95225.0,0.0,0.0,95225.0,90300.0,4925.0,Copper,2025-02-03
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-02-03
USA,Mobile,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2025-02-03
USA,New Orleans,75.0,0.0,0.0,75.0,0.0,75.0,Copper,2025-02-03
,,,,,,,,Copper,2025-02-03
,,,,,,,,Copper,2025-02-03
Belgium,Antwerp,650.0,0.0,0.0,650.0,300.0,350.0,Lead,2025-02-03
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-02-03
Italy,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-02-03
Italy,Leghorn,975.0,0.0,0.0,975.0,975.0,0.0,Lead,2025-02-03
Italy,Trieste,275.0,0.0,0.0,275.0,250.0,25.0,Lead,2025-02-03
Korea (South),Busan,800.0,0.0,0.0,800.0,650.0,150.0,Lead,2025-02-03
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-02-03
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-02-03
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-02-03
Malaysia,Port Klang,25.0,0.0,0.0,25.0,0.0,25.0,Lead,2025-02-03
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-02-03
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-02-03
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-02-03
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-02-03
Singapore,Singapore,213750.0,0.0,750.0,213000.0,185350.0,27650.0,Lead,2025-02-03
Spain,Barcelona,100.0,0.0,0.0,100.0,50.0,50.0,Lead,2025-02-03
