REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,PORT KLANG,0,166531.0,1228.0,/,254.0,496.0,78.0,2244.0,0.0,170831.0
Asia,SINGAPORE,0,5299.0,24.0,/,11561.0,34307.0,550.0,50259.0,333.0,102333.0
Asia,REST OF,0,82946.0,14229.0,/,19051.0,3127.0,190.0,75.0,0.0,119618.0
TOTAL ASIA,NAN,0,254776.0,15481.0,0,30866.0,37930.0,818.0,52578.0,333.0,392782.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,66212.0,25719.0,/,36432.0,0.0,377.0,10022.0,94.0,138856.0
Europe,REST OF,4038,30600.0,3430.0,/,493.0,3935.0,223.0,1272.0,4.0,43995.0
TOTAL Europe,NAN,4038,96812.0,29149.0,0,36925.0,3935.0,600.0,11294.0,98.0,182851.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,13458.0,5851.0,369,2740.0,0.0,215.0,12336.0,0.0,34969.0
TOTAL U.S.A.,NAN,0,13458.0,5851.0,369,2740.0,0.0,215.0,12336.0,0.0,34969.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,4038,365046.0,50481.0,369,70531.0,41865.0,1633.0,76208.0,431.0,610602.0
