Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage,Metal,Date
Belgium,Antwerp,420.0,0.0,0.0,420.0,420.0,0.0,Aluminium Alloy,2024-04-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
Italy,Genoa,120.0,0.0,0.0,120.0,120.0,0.0,Aluminium Alloy,2024-04-02
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
Italy,Trieste,720.0,0.0,0.0,720.0,720.0,0.0,Aluminium Alloy,2024-04-02
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
Netherlands,Vlissingen,80.0,0.0,0.0,80.0,80.0,0.0,Aluminium Alloy,2024-04-02
Singapore,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
Spain,Barcelona,160.0,0.0,0.0,160.0,160.0,0.0,Aluminium Alloy,2024-04-02
Spain,Bilbao,100.0,0.0,0.0,100.0,100.0,0.0,Aluminium Alloy,2024-04-02
Taiwan,Kaohsiung,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-04-02
,,,,,,,,Aluminium Alloy,2024-04-02
,,,,,,,,Aluminium Alloy,2024-04-02
Belgium,Antwerp,3.0,0.0,0.0,3.0,0.0,3.0,Cobalt,2024-04-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt,2024-04-02
Netherlands,Rotterdam,31.0,0.0,0.0,31.0,8.0,23.0,Cobalt,2024-04-02
Singapore,Singapore,24.0,0.0,0.0,24.0,5.0,19.0,Cobalt,2024-04-02
USA,Baltimore,34.0,0.0,0.0,34.0,5.0,29.0,Cobalt,2024-04-02
,,,,,,,,Cobalt,2024-04-02
,,,,,,,,Cobalt,2024-04-02
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-04-02
Germany,Hamburg,10025.0,0.0,0.0,10025.0,10025.0,0.0,Copper,2024-04-02
Italy,Leghorn,175.0,0.0,0.0,175.0,175.0,0.0,Copper,2024-04-02
Italy,Trieste,75.0,0.0,0.0,75.0,75.0,0.0,Copper,2024-04-02
Korea (South),Busan,5475.0,1500.0,0.0,6975.0,6975.0,0.0,Copper,2024-04-02
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-04-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-04-02
Malaysia,Johor,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2024-04-02
Malaysia,Port Klang,250.0,0.0,0.0,250.0,250.0,0.0,Copper,2024-04-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-04-02
Netherlands,Rotterdam,51100.0,0.0,0.0,51100.0,50400.0,700.0,Copper,2024-04-02
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-04-02
Singapore,Singapore,12000.0,0.0,25.0,11975.0,11900.0,75.0,Copper,2024-04-02
Spain,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-04-02
Spain,Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-04-02
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-04-02
Taiwan,Kaohsiung,1925.0,200.0,0.0,2125.0,1375.0,750.0,Copper,2024-04-02
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-04-02
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-04-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-04-02
USA,Baltimore,50.0,0.0,0.0,50.0,50.0,0.0,Copper,2024-04-02
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-04-02
USA,Mobile,1975.0,0.0,0.0,1975.0,1975.0,0.0,Copper,2024-04-02
USA,New Orleans,28850.0,0.0,625.0,28225.0,15575.0,12650.0,Copper,2024-04-02
,,,,,,,,Copper,2024-04-02
,,,,,,,,Copper,2024-04-02
Belgium,Antwerp,2550.0,0.0,0.0,2550.0,1975.0,575.0,Lead,2024-04-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
Italy,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
Italy,Leghorn,1700.0,0.0,0.0,1700.0,1525.0,175.0,Lead,2024-04-02
Italy,Trieste,150.0,0.0,0.0,150.0,125.0,25.0,Lead,2024-04-02
Korea (South),Busan,29675.0,0.0,0.0,29675.0,29675.0,0.0,Lead,2024-04-02
Korea (South),Gwangyang,3725.0,0.0,0.0,3725.0,2575.0,1150.0,Lead,2024-04-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
Malaysia,Port Klang,25.0,0.0,0.0,25.0,0.0,25.0,Lead,2024-04-02
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
Singapore,Singapore,194400.0,2500.0,0.0,196900.0,189850.0,7050.0,Lead,2024-04-02
Spain,Barcelona,1400.0,0.0,0.0,1400.0,1400.0,0.0,Lead,2024-04-02
Spain,Bilbao,50.0,0.0,0.0,50.0,50.0,0.0,Lead,2024-04-02
Sweden,Helsingborg,500.0,0.0,0.0,500.0,500.0,0.0,Lead,2024-04-02
Taiwan,Kaohsiung,39250.0,0.0,0.0,39250.0,37600.0,1650.0,Lead,2024-04-02
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,Detroit,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,Mobile,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,New Orleans,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,Toledo,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,Detroit,40.0,0.0,0.0,40.0,40.0,0.0,Lead,2024-04-02
USA,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,Mobile,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,New Orleans,200.0,0.0,0.0,200.0,80.0,120.0,Lead,2024-04-02
USA,Owensboro,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
USA,Toledo,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-04-02
,,,,,,,,Lead,2024-04-02
,,,,,,,,Lead,2024-04-02
,,,,,,,,Lead,2024-04-02
,,,,,,,,Lead,2024-04-02
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Italy,Genoa,6.0,0.0,0.0,6.0,6.0,0.0,Nickel,2024-04-02
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Italy,Trieste,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Italy,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Italy,Trieste,50.0,0.0,0.0,50.0,0.0,50.0,Nickel,2024-04-02
Italy,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Italy,Trieste,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Japan,Nagoya,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Japan,Yokohama,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-04-02
Korea (South),Busan,9048.0,0.0,0.0,9048.0,7722.0,1326.0,Nickel,2024-04-02
Korea (South),Gwangyang,1560.0,0.0,0.0,1560.0,1560.0,0.0,Nickel,2024-04-02
