Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage,Metal,Date
Belgium,Antwerp,420.0,0.0,0.0,420.0,420.0,0.0,Aluminium Alloy,2026-02-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
Hong Kong SAR,Hong Kong SAR,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
Italy,Genoa,120.0,0.0,0.0,120.0,120.0,0.0,Aluminium Alloy,2026-02-02
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
Italy,Trieste,680.0,0.0,0.0,680.0,680.0,0.0,Aluminium Alloy,2026-02-02
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
Netherlands,Vlissingen,80.0,0.0,0.0,80.0,80.0,0.0,Aluminium Alloy,2026-02-02
Singapore,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
Spain,Barcelona,140.0,0.0,0.0,140.0,140.0,0.0,Aluminium Alloy,2026-02-02
Spain,Bilbao,60.0,0.0,0.0,60.0,60.0,0.0,Aluminium Alloy,2026-02-02
Taiwan,Kaohsiung,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2026-02-02
,,,,,,,,Aluminium Alloy,2026-02-02
,,,,,,,,Aluminium Alloy,2026-02-02
Belgium,Antwerp,3.0,0.0,0.0,3.0,0.0,3.0,Cobalt,2026-02-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt,2026-02-02
Netherlands,Rotterdam,65.0,0.0,0.0,65.0,0.0,65.0,Cobalt,2026-02-02
Singapore,Singapore,19.0,0.0,0.0,19.0,0.0,19.0,Cobalt,2026-02-02
USA,Baltimore,34.0,0.0,0.0,34.0,0.0,34.0,Cobalt,2026-02-02
,,,,,,,,Cobalt,2026-02-02
,,,,,,,,Cobalt,2026-02-02
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
Germany,Hamburg,3075.0,0.0,0.0,3075.0,3075.0,0.0,Copper,2026-02-02
Hong Kong SAR,Hong Kong SAR,11250.0,0.0,0.0,11250.0,11250.0,0.0,Copper,2026-02-02
Italy,Leghorn,875.0,0.0,0.0,875.0,875.0,0.0,Copper,2026-02-02
Italy,Trieste,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
Korea (South),Busan,20125.0,500.0,125.0,20500.0,18075.0,2425.0,Copper,2026-02-02
Korea (South),Gwangyang,25000.0,1750.0,0.0,26750.0,13200.0,13550.0,Copper,2026-02-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
Malaysia,Johor,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2026-02-02
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
Netherlands,Rotterdam,10525.0,0.0,0.0,10525.0,10275.0,250.0,Copper,2026-02-02
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
Saudi Arabia,Jeddah,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
Singapore,Singapore,6575.0,0.0,300.0,6275.0,5900.0,375.0,Copper,2026-02-02
Spain,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
Spain,Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
Taiwan,Kaohsiung,81875.0,0.0,375.0,81500.0,61050.0,20450.0,Copper,2026-02-02
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
USA,Baltimore,3450.0,0.0,0.0,3450.0,3450.0,0.0,Copper,2026-02-02
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
USA,Mobile,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2026-02-02
USA,New Orleans,11900.0,0.0,0.0,11900.0,11900.0,0.0,Copper,2026-02-02
,,,,,,,,Copper,2026-02-02
,,,,,,,,Copper,2026-02-02
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Hong Kong SAR,Hong Kong SAR,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Italy,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Italy,Leghorn,450.0,0.0,0.0,450.0,450.0,0.0,Lead,2026-02-02
Italy,Trieste,25.0,0.0,0.0,25.0,25.0,0.0,Lead,2026-02-02
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Singapore,Singapore,203425.0,30450.0,1675.0,232200.0,216800.0,15400.0,Lead,2026-02-02
Spain,Barcelona,25.0,0.0,0.0,25.0,0.0,25.0,Lead,2026-02-02
Spain,Bilbao,50.0,0.0,0.0,50.0,0.0,50.0,Lead,2026-02-02
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
Taiwan,Kaohsiung,100.0,0.0,0.0,100.0,100.0,0.0,Lead,2026-02-02
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
USA,Detroit,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
USA,Mobile,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
USA,New Orleans,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2026-02-02
