REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,PORT KLANG,0,687472.0,584.0,/,1657.0,509.0,265.0,2417.0,0.0,692904.0
Asia,SINGAPORE,0,6377.0,17.0,/,7253.0,32198.0,575.0,62191.0,565.0,109176.0
Asia,REST OF,0,17180.0,3135.0,/,8669.0,5929.0,180.0,940.0,0.0,36033.0
TOTAL ASIA,NAN,0,711029.0,3736.0,/,17579.0,38636.0,1020.0,65548.0,565.0,838113.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,91552.0,4776.0,/,30142.0,0.0,379.0,280.0,213.0,127342.0
Europe,REST OF,0,8337.0,3450.0,/,1651.0,2747.0,180.0,1824.0,8.0,18197.0
TOTAL Europe,NAN,0,99889.0,8226.0,/,31793.0,2747.0,559.0,2104.0,221.0,145539.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,12091.0,720.0,11,4781.0,0.0,0.0,13148.0,0.0,30751.0
TOTAL U.S.A.,NAN,/,12091.0,720.0,11,4781.0,0.0,0.0,13148.0,0.0,30751.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,0,823009.0,12682.0,11,54153.0,41383.0,1579.0,80800.0,786.0,1014403.0
