REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,PORT KLANG,0,510125.0,10.0,/,1355.0,0.0,851.0,1080.0,0.0,513421.0
Asia,SINGAPORE,0,5328.0,398.0,/,1854.0,68759.0,5.0,68700.0,0.0,145044.0
Asia,REST OF,0,23376.0,676.0,/,3968.0,1171.0,0.0,0.0,0.0,29191.0
TOTAL ASIA,NAN,0,538829.0,1084.0,/,7177.0,69930.0,856.0,69780.0,0.0,687656.0
,NAN,,,,,,,,,,
Europe,EUROPE,79,1372.0,374.0,/,5078.0,2502.0,540.0,2800.0,0.0,12745.0
TOTAL Europe,NAN,79,1372.0,374.0,/,5078.0,2502.0,540.0,2800.0,0.0,12745.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,623.0,3627.0,699,4642.0,0.0,0.0,0.0,0.0,9591.0
TOTAL U.S.A.,NAN,/,623.0,3627.0,699,4642.0,0.0,0.0,0.0,0.0,9591.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,79,540824.0,5085.0,699,16897.0,72432.0,1396.0,72580.0,0.0,709992.0
