REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,PORT KLANG,0,414550.0,1016.0,/,0.0,0.0,690.0,4178.0,0.0,420434.0
Asia,SINGAPORE,0,6267.0,12.0,/,3110.0,37836.0,25.0,30666.0,0.0,77916.0
Asia,REST OF,0,12951.0,2027.0,/,1448.0,1027.0,0.0,0.0,0.0,17453.0
TOTAL ASIA,NAN,0,433768.0,3055.0,/,4558.0,38863.0,715.0,34844.0,0.0,515803.0
,NAN,,,,,,,,,,
Europe,EUROPE,79,1722.0,850.0,/,5270.0,2967.0,606.0,835.0,0.0,12329.0
TOTAL Europe,NAN,79,1722.0,850.0,/,5270.0,2967.0,606.0,835.0,0.0,12329.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,623.0,1316.0,739,4642.0,0.0,0.0,0.0,0.0,7320.0
TOTAL U.S.A.,NAN,/,623.0,1316.0,739,4642.0,0.0,0.0,0.0,0.0,7320.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,79,436113.0,5221.0,739,14470.0,41830.0,1321.0,35679.0,0.0,535452.0
