REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,SINGAPORE,0,5299.0,14.0,/,12866.0,102466.0,324.0,26583.0,313.0,147865.0
Asia,PORT KLANG,0,131042.0,2577.0,/,1177.0,0.0,203.0,1796.0,0.0,136795.0
Asia,REST OF,0,75016.0,12099.0,/,15013.0,4156.0,230.0,522.0,0.0,107036.0
TOTAL ASIA,NAN,0,211357.0,14690.0,0,29056.0,106622.0,757.0,28901.0,313.0,391696.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,58260.0,18928.0,/,34440.0,0.0,533.0,7507.0,113.0,119781.0
Europe,REST OF,4817,26937.0,2724.0,/,805.0,5207.0,198.0,1788.0,4.0,42480.0
TOTAL Europe,NAN,4817,85197.0,21652.0,0,35245.0,5207.0,731.0,9295.0,117.0,162261.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,8620.0,2549.0,211,2909.0,0.0,70.0,11898.0,0.0,26257.0
TOTAL U.S.A.,NAN,0,8620.0,2549.0,211,2909.0,0.0,70.0,11898.0,0.0,26257.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,4817,305174.0,38891.0,211,67210.0,111829.0,1558.0,50094.0,430.0,580214.0
