REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO,TOTAL
ASIA,KOREA (SOUTH),GWANGYANG,0.0,609.0,12760.0,0.0,707.0,1691.0,379.0,0.0,0.0,16146.0
ASIA,KOREA (SOUTH),INCHEON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASIA,MALAYSIA,JOHOR,0.0,4091.0,0.0,0.0,517.0,0.0,0.0,0.0,0.0,4608.0
ASIA,MALAYSIA,PORT KLANG,0.0,63225.0,1102.0,0.0,2305.0,14324.0,120.0,3786.0,0.0,84862.0
ASIA,SAUDI ARABIA,JEDDAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0
ASIA,SINGAPORE,SINGAPORE,0.0,4057.0,7351.0,0.0,37807.0,197552.0,1141.0,10725.0,1000.0,259633.0
ASIA,TAIWAN,KAOHSIUNG,0.0,0.0,5388.0,0.0,19382.0,11527.0,0.0,7631.0,0.0,43928.0
ASIA,UAE,DUBAI,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0
TOTAL ASIA,NAN,,0.0,71982.0,38517.0,0.0,81061.0,225597.0,2085.0,23268.0,1000.0,443510.0
,NAN,,,,,,,,,,,
EUROPE,BELGIUM,ANTWERP,0.0,1825.0,0.0,0.0,0.0,0.0,10.0,1935.0,0.0,3770.0
EUROPE,GERMANY,HAMBURG,0.0,0.0,12800.0,0.0,0.0,0.0,0.0,0.0,0.0,12800.0
EUROPE,ITALY,GENOA,0.0,1010.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,1242.0
EUROPE,ITALY,LEGHORN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,ITALY,TRIESTE,0.0,18722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18722.0
EUROPE,NETHERLANDS,AMSTERDAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,NETHERLANDS,MOERDIJK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,NETHERLANDS,ROTTERDAM,0.0,27412.0,15.0,0.0,8229.0,38.0,1385.0,600.0,1224.0,38903.0
EUROPE,NETHERLANDS,VLISSINGEN,0.0,0.0,0.0,0.0,901.0,147.0,0.0,0.0,0.0,1048.0
EUROPE,SPAIN,BARCELONA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,SPAIN,BILBAO,0.0,5.0,0.0,0.0,86.0,0.0,46.0,0.0,0.0,137.0
EUROPE,SWEDEN,HELSINGBORG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,UK,HULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,UK,LIVERPOOL,0.0,5026.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,5330.0
TOTAL EUROPE,NAN,,0.0,54000.0,12815.0,0.0,9520.0,185.0,1673.0,2535.0,1224.0,81952.0
,NAN,,,,,,,,,,,
