REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,PORT KLANG,0,638460.0,110.0,/,1075.0,487.0,910.0,1923.0,0.0,642965.0
Asia,SINGAPORE,0,8157.0,3325.0,/,2877.0,14466.0,300.0,39097.0,565.0,68787.0
Asia,REST OF,0,5493.0,8290.0,/,5744.0,2202.0,48.0,1114.0,0.0,22891.0
TOTAL ASIA,NAN,0,652110.0,11725.0,/,9696.0,17155.0,1258.0,42134.0,565.0,734643.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,101348.0,6243.0,/,25970.0,0.0,517.0,421.0,213.0,134712.0
Europe,REST OF,0,14168.0,3100.0,/,1823.0,2895.0,160.0,5613.0,20.0,27779.0
TOTAL Europe,NAN,0,115516.0,9343.0,/,27793.0,2895.0,677.0,6034.0,233.0,162491.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,2822.0,176.0,158,4600.0,0.0,0.0,0.0,0.0,7756.0
TOTAL U.S.A.,NAN,/,2822.0,176.0,158,4600.0,0.0,0.0,0.0,0.0,7756.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,0,770448.0,21244.0,158,42089.0,20050.0,1935.0,48168.0,798.0,904890.0
