Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage,Metal,Date
Belgium,Antwerp,420.0,0.0,0.0,420.0,420.0,0.0,Aluminium Alloy,2024-12-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
Italy,Genoa,120.0,0.0,0.0,120.0,120.0,0.0,Aluminium Alloy,2024-12-02
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
Italy,Trieste,700.0,20.0,0.0,720.0,700.0,20.0,Aluminium Alloy,2024-12-02
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
Netherlands,Vlissingen,80.0,0.0,0.0,80.0,80.0,0.0,Aluminium Alloy,2024-12-02
Singapore,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
Spain,Barcelona,220.0,0.0,0.0,220.0,220.0,0.0,Aluminium Alloy,2024-12-02
Spain,Bilbao,60.0,0.0,0.0,60.0,60.0,0.0,Aluminium Alloy,2024-12-02
Taiwan,Kaohsiung,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-12-02
,,,,,,,,Aluminium Alloy,2024-12-02
,,,,,,,,Aluminium Alloy,2024-12-02
Belgium,Antwerp,3.0,0.0,0.0,3.0,0.0,3.0,Cobalt,2024-12-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt,2024-12-02
Netherlands,Rotterdam,67.0,0.0,0.0,67.0,41.0,26.0,Cobalt,2024-12-02
Singapore,Singapore,24.0,0.0,0.0,24.0,3.0,21.0,Cobalt,2024-12-02
USA,Baltimore,34.0,0.0,0.0,34.0,0.0,34.0,Cobalt,2024-12-02
,,,,,,,,Cobalt,2024-12-02
,,,,,,,,Cobalt,2024-12-02
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-12-02
Germany,Hamburg,7525.0,0.0,0.0,7525.0,7525.0,0.0,Copper,2024-12-02
Italy,Leghorn,100.0,0.0,0.0,100.0,100.0,0.0,Copper,2024-12-02
Italy,Trieste,350.0,0.0,0.0,350.0,350.0,0.0,Copper,2024-12-02
Korea (South),Busan,42925.0,0.0,0.0,42925.0,41425.0,1500.0,Copper,2024-12-02
Korea (South),Gwangyang,44500.0,0.0,0.0,44500.0,44500.0,0.0,Copper,2024-12-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-12-02
Malaysia,Johor,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2024-12-02
Malaysia,Port Klang,3600.0,0.0,575.0,3025.0,3025.0,0.0,Copper,2024-12-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-12-02
Netherlands,Rotterdam,40500.0,0.0,0.0,40500.0,40500.0,0.0,Copper,2024-12-02
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-12-02
Singapore,Singapore,17775.0,0.0,200.0,17575.0,16725.0,850.0,Copper,2024-12-02
Spain,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-12-02
Spain,Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-12-02
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-12-02
Taiwan,Kaohsiung,112900.0,0.0,1325.0,111575.0,102900.0,8675.0,Copper,2024-12-02
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-12-02
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-12-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-12-02
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-12-02
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-12-02
USA,Mobile,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2024-12-02
USA,New Orleans,500.0,0.0,0.0,500.0,500.0,0.0,Copper,2024-12-02
,,,,,,,,Copper,2024-12-02
,,,,,,,,Copper,2024-12-02
Belgium,Antwerp,650.0,0.0,0.0,650.0,300.0,350.0,Lead,2024-12-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
Italy,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
Italy,Leghorn,1000.0,0.0,0.0,1000.0,975.0,25.0,Lead,2024-12-02
Italy,Trieste,275.0,0.0,0.0,275.0,250.0,25.0,Lead,2024-12-02
Korea (South),Busan,800.0,0.0,0.0,800.0,650.0,150.0,Lead,2024-12-02
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
Malaysia,Port Klang,25.0,0.0,0.0,25.0,0.0,25.0,Lead,2024-12-02
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
Singapore,Singapore,265550.0,0.0,150.0,265400.0,244150.0,21250.0,Lead,2024-12-02
Spain,Barcelona,100.0,0.0,0.0,100.0,100.0,0.0,Lead,2024-12-02
Spain,Bilbao,50.0,0.0,0.0,50.0,50.0,0.0,Lead,2024-12-02
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
Taiwan,Kaohsiung,3225.0,0.0,0.0,3225.0,3000.0,225.0,Lead,2024-12-02
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,Detroit,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,Mobile,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,New Orleans,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,Toledo,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,Detroit,40.0,0.0,0.0,40.0,40.0,0.0,Lead,2024-12-02
USA,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,Mobile,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,New Orleans,180.0,0.0,0.0,180.0,80.0,100.0,Lead,2024-12-02
USA,Owensboro,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
USA,Toledo,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-12-02
,,,,,,,,Lead,2024-12-02
,,,,,,,,Lead,2024-12-02
,,,,,,,,Lead,2024-12-02
,,,,,,,,Lead,2024-12-02
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-12-02
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-12-02
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-12-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-12-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-12-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-12-02
Italy,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-12-02
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Nickel,2024-12-02
