date,price_jpy_per_ton
2024-04-05,1450000
2024-04-10,1460000
2024-04-15,1470000
2024-04-16,1520000
2024-04-19,1540000
2024-04-23,1560000
2024-05-07,1560000
2024-05-10,1580000
2024-05-14,1630000
2024-05-17,1650000
2024-05-21,1750000
2024-05-23,1660000
2024-05-29,1690000
2024-06-03,1620000
2024-06-05,1570000
2024-06-07,1610000
2024-06-11,1580000
2024-06-14,1570000
2024-06-21,1600000
2024-06-25,1570000
2024-07-01,1570000
2024-07-04,1620000
2024-07-12,1580000
2024-07-17,1560000
2024-07-19,1500000
2024-07-24,1460000
2024-07-26,1430000
2024-08-01,1420000
2024-08-05,1360000
2024-08-07,1320000
2024-08-13,1360000
2024-08-19,1390000
2024-08-21,1360000
2024-08-27,1370000
2024-09-02,1390000
2024-09-04,1340000
2024-09-09,1310000
2024-09-12,1330000
2024-09-17,1350000
2024-09-19,1370000
2024-09-24,1400000
2024-09-26,1450000
2024-10-01,1450000
2024-10-03,1510000
2024-10-08,1500000
2024-10-10,1470000
2024-10-16,1450000
2024-10-21,1470000
2024-10-24,1480000
2024-10-29,1490000
2024-11-01,1480000
2024-11-06,1510000
2024-11-11,1470000
2024-11-13,1440000
2024-11-18,1420000
2024-11-20,1440000
2024-11-25,1410000
2024-12-02,1390000
2024-12-05,1400000
2024-12-10,1430000
2024-12-13,1420000
2024-12-19,1430000
2024-12-24,1440000
2025-01-06,1430000
2025-01-08,1450000
2025-01-10,1470000
2025-01-22,1480000
2025-01-28,1440000
2025-02-03,1440000
2025-02-12,1460000
2025-02-14,1490000
2025-02-18,1460000
2025-02-21,1480000
2025-02-26,1440000
2025-03-03,1460000
2025-03-06,1480000
2025-03-11,1440000
2025-03-13,1500000
2025-03-18,1510000
2025-03-25,1540000
2025-04-01,1500000
2025-04-04,1410000
2025-04-07,1300000
2025-04-10,1360000
2025-04-16,1350000
2025-04-23,1380000
2025-05-07,1420000
2025-05-12,1430000
2025-05-14,1470000
2025-05-19,1430000
2025-05-22,1420000
2025-05-28,1440000
2025-06-02,1420000
2025-06-04,1450000
2025-06-09,1460000
2025-06-12,1450000
2025-06-18,1470000
2025-06-24,1510000
2025-06-26,1480000
2025-07-01,1500000
2025-07-07,1490000
2025-07-10,1470000
2025-07-16,1480000
2025-07-22,1500000
2025-07-25,1490000
2025-08-01,1490000
2025-08-05,1470000
2025-08-08,1460000
2025-08-13,1490000
2025-08-19,1480000
2025-08-26,1490000
2025-09-01,1500000
2025-09-03,1530000
2025-09-05,1510000
2025-09-10,1500000
2025-09-12,1520000
2025-09-18,1510000
2025-09-25,1580000
2025-10-01,1570000
2025-10-06,1650000
2025-10-08,1680000
2025-10-14,1730000
2025-10-15,1670000
2025-10-17,1640000
2025-10-21,1660000
2025-10-24,1700000
2025-10-28,1730000
2025-11-04,1720000
2025-11-06,1700000
2025-11-11,1730000
2025-11-18,1720000
2025-11-20,1740000
2025-12-01,1800000
2025-12-04,1840000
2025-12-09,1880000
2025-12-11,1850000
2025-12-12,1900000
2025-12-16,1860000
2025-12-19,1880000
2025-12-23,1920000
2026-01-05,2050000
2026-01-06,2150000
2026-01-08,2110000
2026-01-13,2190000
2026-01-19,2120000
2026-01-28,2060000
2026-01-30,2180000
2026-02-02,2110000
2026-02-04,2170000
2026-02-06,2100000
2026-02-10,2140000
2026-02-13,2040000
2026-02-18,2020000
2026-02-20,2070000
