REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,SINGAPORE,0,5299.0,621.0,/,11546.0,94561.0,454.0,54807.0,313.0,167601.0
Asia,PORT KLANG,0,90083.0,498.0,/,3089.0,0.0,235.0,3541.0,0.0,97446.0
Asia,REST OF,0,85753.0,15458.0,/,18862.0,1711.0,260.0,522.0,0.0,122566.0
TOTAL ASIA,NAN,0,181135.0,16577.0,0,33497.0,96272.0,949.0,58870.0,313.0,387613.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,38459.0,13502.0,/,35875.0,0.0,937.0,7466.0,103.0,96342.0
Europe,REST OF,5259,4391.0,3225.0,/,911.0,1996.0,344.0,2123.0,4.0,18253.0
TOTAL Europe,NAN,5259,42850.0,16727.0,0,36786.0,1996.0,1281.0,9589.0,107.0,114595.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,7622.0,3323.0,211,3203.0,0.0,62.0,10998.0,0.0,25419.0
TOTAL U.S.A.,NAN,0,7622.0,3323.0,211,3203.0,0.0,62.0,10998.0,0.0,25419.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,5259,231607.0,36627.0,211,73486.0,98268.0,2292.0,79457.0,420.0,527627.0
