Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage,Metal,Date
Belgium,Antwerp,420.0,0.0,0.0,420.0,420.0,0.0,Aluminium Alloy,2025-10-01
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
Hong Kong SAR,Hong Kong SAR,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
Italy,Genoa,120.0,0.0,0.0,120.0,120.0,0.0,Aluminium Alloy,2025-10-01
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
Italy,Trieste,680.0,0.0,0.0,680.0,680.0,0.0,Aluminium Alloy,2025-10-01
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
Netherlands,Vlissingen,80.0,0.0,0.0,80.0,80.0,0.0,Aluminium Alloy,2025-10-01
Singapore,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
Spain,Barcelona,140.0,0.0,0.0,140.0,140.0,0.0,Aluminium Alloy,2025-10-01
Spain,Bilbao,60.0,0.0,0.0,60.0,60.0,0.0,Aluminium Alloy,2025-10-01
Taiwan,Kaohsiung,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-10-01
,,,,,,,,Aluminium Alloy,2025-10-01
,,,,,,,,Aluminium Alloy,2025-10-01
Belgium,Antwerp,3.0,0.0,0.0,3.0,0.0,3.0,Cobalt,2025-10-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt,2025-10-01
Netherlands,Rotterdam,79.0,0.0,0.0,79.0,0.0,79.0,Cobalt,2025-10-01
Singapore,Singapore,21.0,0.0,0.0,21.0,0.0,21.0,Cobalt,2025-10-01
USA,Baltimore,34.0,0.0,0.0,34.0,0.0,34.0,Cobalt,2025-10-01
,,,,,,,,Cobalt,2025-10-01
,,,,,,,,Cobalt,2025-10-01
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
Germany,Hamburg,3075.0,0.0,0.0,3075.0,3075.0,0.0,Copper,2025-10-01
Hong Kong SAR,Hong Kong SAR,7775.0,0.0,0.0,7775.0,7775.0,0.0,Copper,2025-10-01
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
Italy,Trieste,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
Korea (South),Busan,10450.0,0.0,0.0,10450.0,8625.0,1825.0,Copper,2025-10-01
Korea (South),Gwangyang,42250.0,0.0,600.0,41650.0,37450.0,4200.0,Copper,2025-10-01
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
Malaysia,Johor,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2025-10-01
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
Netherlands,Rotterdam,15650.0,0.0,175.0,15475.0,15050.0,425.0,Copper,2025-10-01
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
Saudi Arabia,Jeddah,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
Singapore,Singapore,8700.0,0.0,0.0,8700.0,8100.0,600.0,Copper,2025-10-01
Spain,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
Spain,Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
Taiwan,Kaohsiung,53800.0,0.0,0.0,53800.0,53600.0,200.0,Copper,2025-10-01
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
USA,Mobile,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
USA,New Orleans,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-10-01
,,,,,,,,Copper,2025-10-01
,,,,,,,,Copper,2025-10-01
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Hong Kong SAR,Hong Kong SAR,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Italy,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Italy,Leghorn,975.0,0.0,0.0,975.0,975.0,0.0,Lead,2025-10-01
Italy,Trieste,250.0,0.0,0.0,250.0,250.0,0.0,Lead,2025-10-01
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Singapore,Singapore,226200.0,5550.0,0.0,231750.0,209725.0,22025.0,Lead,2025-10-01
Spain,Barcelona,50.0,0.0,0.0,50.0,50.0,0.0,Lead,2025-10-01
Spain,Bilbao,50.0,0.0,0.0,50.0,50.0,0.0,Lead,2025-10-01
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
Taiwan,Kaohsiung,675.0,0.0,0.0,675.0,675.0,0.0,Lead,2025-10-01
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
USA,Detroit,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
USA,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
USA,Mobile,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
USA,New Orleans,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-10-01
