Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage,Metal,Date
Belgium,Antwerp,420.0,0.0,0.0,420.0,420.0,0.0,Aluminium Alloy,2025-12-01
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
Hong Kong SAR,Hong Kong SAR,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
Italy,Genoa,120.0,0.0,0.0,120.0,120.0,0.0,Aluminium Alloy,2025-12-01
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
Italy,Trieste,680.0,0.0,0.0,680.0,680.0,0.0,Aluminium Alloy,2025-12-01
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
Netherlands,Vlissingen,80.0,0.0,0.0,80.0,80.0,0.0,Aluminium Alloy,2025-12-01
Singapore,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
Spain,Barcelona,140.0,0.0,0.0,140.0,140.0,0.0,Aluminium Alloy,2025-12-01
Spain,Bilbao,60.0,0.0,0.0,60.0,60.0,0.0,Aluminium Alloy,2025-12-01
Taiwan,Kaohsiung,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-12-01
,,,,,,,,Aluminium Alloy,2025-12-01
,,,,,,,,Aluminium Alloy,2025-12-01
Belgium,Antwerp,3.0,0.0,0.0,3.0,0.0,3.0,Cobalt,2025-12-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt,2025-12-01
Netherlands,Rotterdam,68.0,0.0,0.0,68.0,0.0,68.0,Cobalt,2025-12-01
Singapore,Singapore,21.0,0.0,0.0,21.0,0.0,21.0,Cobalt,2025-12-01
USA,Baltimore,34.0,0.0,0.0,34.0,0.0,34.0,Cobalt,2025-12-01
,,,,,,,,Cobalt,2025-12-01
,,,,,,,,Cobalt,2025-12-01
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-12-01
Germany,Hamburg,3075.0,0.0,0.0,3075.0,3075.0,0.0,Copper,2025-12-01
Hong Kong SAR,Hong Kong SAR,10575.0,0.0,0.0,10575.0,10575.0,0.0,Copper,2025-12-01
Italy,Leghorn,100.0,0.0,25.0,75.0,0.0,75.0,Copper,2025-12-01
Italy,Trieste,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-12-01
Korea (South),Busan,16250.0,550.0,0.0,16800.0,16425.0,375.0,Copper,2025-12-01
Korea (South),Gwangyang,37150.0,0.0,0.0,37150.0,35650.0,1500.0,Copper,2025-12-01
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-12-01
