REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,PORT KLANG,0,201546.0,445.0,/,79.0,6838.0,102.0,4632.0,0.0,213642.0
Asia,SINGAPORE,0,4755.0,6644.0,/,11361.0,97313.0,286.0,83475.0,313.0,204147.0
Asia,REST OF,0,43405.0,11653.0,/,23336.0,2617.0,194.0,224.0,0.0,81429.0
TOTAL ASIA,NAN,0,249706.0,18742.0,0,34776.0,106768.0,582.0,88331.0,313.0,499218.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,78183.0,16391.0,/,27729.0,0.0,571.0,5198.0,86.0,128158.0
Europe,REST OF,0,42536.0,6605.0,/,897.0,1654.0,232.0,480.0,3.0,52407.0
TOTAL Europe,NAN,0,120719.0,22996.0,0,28626.0,1654.0,803.0,5678.0,89.0,180565.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,10119.0,3005.0,169,4403.0,0.0,21.0,11652.0,0.0,29369.0
TOTAL U.S.A.,NAN,0,10119.0,3005.0,169,4403.0,0.0,21.0,11652.0,0.0,29369.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,0,380544.0,44743.0,169,67805.0,108422.0,1406.0,105661.0,402.0,709152.0
