Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage,Metal,Date
Belgium,Antwerp,420.0,0.0,0.0,420.0,420.0,0.0,Aluminium Alloy,2025-09-01
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
Hong Kong SAR,Hong Kong SAR,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
Italy,Genoa,120.0,0.0,0.0,120.0,120.0,0.0,Aluminium Alloy,2025-09-01
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
Italy,Trieste,680.0,0.0,0.0,680.0,680.0,0.0,Aluminium Alloy,2025-09-01
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
Netherlands,Vlissingen,80.0,0.0,0.0,80.0,80.0,0.0,Aluminium Alloy,2025-09-01
Singapore,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
Spain,Barcelona,140.0,0.0,0.0,140.0,140.0,0.0,Aluminium Alloy,2025-09-01
Spain,Bilbao,60.0,0.0,0.0,60.0,60.0,0.0,Aluminium Alloy,2025-09-01
Taiwan,Kaohsiung,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-09-01
,,,,,,,,Aluminium Alloy,2025-09-01
,,,,,,,,Aluminium Alloy,2025-09-01
Belgium,Antwerp,3.0,0.0,0.0,3.0,0.0,3.0,Cobalt,2025-09-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt,2025-09-01
Netherlands,Rotterdam,79.0,0.0,0.0,79.0,0.0,79.0,Cobalt,2025-09-01
Singapore,Singapore,21.0,0.0,0.0,21.0,0.0,21.0,Cobalt,2025-09-01
USA,Baltimore,34.0,0.0,0.0,34.0,0.0,34.0,Cobalt,2025-09-01
,,,,,,,,Cobalt,2025-09-01
,,,,,,,,Cobalt,2025-09-01
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
Germany,Hamburg,3075.0,0.0,0.0,3075.0,3075.0,0.0,Copper,2025-09-01
Hong Kong SAR,Hong Kong SAR,7675.0,0.0,0.0,7675.0,7675.0,0.0,Copper,2025-09-01
Italy,Leghorn,125.0,0.0,0.0,125.0,0.0,125.0,Copper,2025-09-01
Italy,Trieste,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
Korea (South),Busan,16975.0,0.0,0.0,16975.0,14325.0,2650.0,Copper,2025-09-01
Korea (South),Gwangyang,46975.0,0.0,0.0,46975.0,40750.0,6225.0,Copper,2025-09-01
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
Malaysia,Johor,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2025-09-01
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
Netherlands,Rotterdam,20900.0,0.0,0.0,20900.0,19575.0,1325.0,Copper,2025-09-01
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
Saudi Arabia,Jeddah,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
Singapore,Singapore,9125.0,0.0,100.0,9025.0,8625.0,400.0,Copper,2025-09-01
Spain,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
Spain,Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
Taiwan,Kaohsiung,54000.0,0.0,0.0,54000.0,51675.0,2325.0,Copper,2025-09-01
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
USA,Mobile,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
USA,New Orleans,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-09-01
,,,,,,,,Copper,2025-09-01
,,,,,,,,Copper,2025-09-01
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-09-01
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-09-01
