Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage,Metal,Date
Belgium,Antwerp,440.0,0.0,0.0,440.0,420.0,20.0,Aluminium Alloy,2024-01-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
Italy,Genoa,120.0,0.0,0.0,120.0,120.0,0.0,Aluminium Alloy,2024-01-02
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
Italy,Trieste,960.0,0.0,0.0,960.0,960.0,0.0,Aluminium Alloy,2024-01-02
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
Netherlands,Vlissingen,80.0,0.0,0.0,80.0,80.0,0.0,Aluminium Alloy,2024-01-02
Singapore,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
Spain,Barcelona,160.0,0.0,0.0,160.0,160.0,0.0,Aluminium Alloy,2024-01-02
Spain,Bilbao,100.0,0.0,0.0,100.0,100.0,0.0,Aluminium Alloy,2024-01-02
Taiwan,Kaohsiung,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2024-01-02
,,,,,,,,Aluminium Alloy,2024-01-02
,,,,,,,,Aluminium Alloy,2024-01-02
Belgium,Antwerp,3.0,0.0,0.0,3.0,0.0,3.0,Cobalt,2024-01-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt,2024-01-02
Netherlands,Rotterdam,31.0,0.0,0.0,31.0,8.0,23.0,Cobalt,2024-01-02
Singapore,Singapore,24.0,0.0,0.0,24.0,5.0,19.0,Cobalt,2024-01-02
USA,Baltimore,34.0,0.0,0.0,34.0,5.0,29.0,Cobalt,2024-01-02
,,,,,,,,Cobalt,2024-01-02
,,,,,,,,Cobalt,2024-01-02
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-01-02
Germany,Hamburg,29750.0,0.0,0.0,29750.0,29750.0,0.0,Copper,2024-01-02
Italy,Leghorn,1600.0,0.0,0.0,1600.0,1600.0,0.0,Copper,2024-01-02
Italy,Trieste,2075.0,0.0,0.0,2075.0,2075.0,0.0,Copper,2024-01-02
Korea (South),Busan,2825.0,0.0,0.0,2825.0,2825.0,0.0,Copper,2024-01-02
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-01-02
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-01-02
Malaysia,Johor,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2024-01-02
Malaysia,Port Klang,425.0,0.0,0.0,425.0,225.0,200.0,Copper,2024-01-02
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-01-02
Netherlands,Rotterdam,50000.0,0.0,0.0,50000.0,50000.0,0.0,Copper,2024-01-02
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-01-02
Singapore,Singapore,7775.0,0.0,0.0,7775.0,7575.0,200.0,Copper,2024-01-02
Spain,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-01-02
Spain,Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-01-02
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-01-02
Taiwan,Kaohsiung,1175.0,0.0,0.0,1175.0,425.0,750.0,Copper,2024-01-02
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-01-02
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-01-02
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-01-02
USA,Baltimore,50.0,0.0,0.0,50.0,50.0,0.0,Copper,2024-01-02
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2024-01-02
USA,Mobile,1975.0,0.0,0.0,1975.0,1975.0,0.0,Copper,2024-01-02
USA,New Orleans,68025.0,0.0,0.0,68025.0,43775.0,24250.0,Copper,2024-01-02
,,,,,,,,Copper,2024-01-02
,,,,,,,,Copper,2024-01-02
Belgium,Antwerp,750.0,0.0,0.0,750.0,0.0,750.0,Lead,2024-01-02
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2024-01-02
