REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,SINGAPORE,0,5299.0,717.0,/,8526.0,110268.0,449.0,100322.0,374.0,225955.0
Asia,PORT KLANG,0,79112.0,747.0,/,578.0,0.0,161.0,3494.0,0.0,84092.0
Asia,REST OF,0,80852.0,19140.0,/,15501.0,1725.0,165.0,473.0,0.0,117856.0
TOTAL ASIA,NAN,0,165263.0,20604.0,0,24605.0,111993.0,775.0,104289.0,374.0,427903.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,45689.0,8633.0,/,40858.0,0.0,876.0,6796.0,103.0,102955.0
Europe,REST OF,4061,3950.0,3350.0,/,1032.0,1169.0,504.0,345.0,4.0,14415.0
TOTAL Europe,NAN,4061,49639.0,11983.0,0,41890.0,1169.0,1380.0,7141.0,107.0,117370.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,7490.0,215.0,11,3441.0,0.0,1.0,12099.0,0.0,23257.0
TOTAL U.S.A.,NAN,0,7490.0,215.0,11,3441.0,0.0,1.0,12099.0,0.0,23257.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,4061,222392.0,32802.0,11,69936.0,113162.0,2156.0,123529.0,481.0,568530.0
