REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO,TOTAL
ASIA,KOREA (SOUTH),GWANGYANG,0.0,33652.0,34.0,0.0,735.0,0.0,0.0,0.0,0.0,34421.0
ASIA,KOREA (SOUTH),INCHEON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASIA,MALAYSIA,JOHOR,0.0,7019.0,0.0,0.0,517.0,0.0,0.0,0.0,0.0,7536.0
ASIA,MALAYSIA,PORT KLANG,0.0,118394.0,750.0,0.0,1760.0,16933.0,150.0,2082.0,0.0,140069.0
ASIA,SAUDI ARABIA,JEDDAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.0,0.0,1775.0
ASIA,SINGAPORE,SINGAPORE,0.0,4112.0,918.0,0.0,15140.0,47697.0,195.0,4942.0,462.0,73466.0
ASIA,TAIWAN,KAOHSIUNG,0.0,447.0,1803.0,0.0,25370.0,6954.0,0.0,149.0,0.0,34723.0
ASIA,UAE,DUBAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL ASIA,NAN,,0.0,163680.0,12513.0,0.0,61583.0,72073.0,615.0,8948.0,462.0,319874.0
,NAN,,,,,,,,,,,
EUROPE,BELGIUM,ANTWERP,0.0,2495.0,0.0,0.0,0.0,122.0,20.0,1029.0,0.0,3666.0
EUROPE,GERMANY,HAMBURG,0.0,0.0,3350.0,0.0,0.0,0.0,0.0,0.0,0.0,3350.0
EUROPE,ITALY,GENOA,0.0,1999.0,0.0,0.0,24.0,0.0,108.0,0.0,0.0,2131.0
EUROPE,ITALY,LEGHORN,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
EUROPE,ITALY,TRIESTE,0.0,27835.0,0.0,0.0,0.0,0.0,2.0,169.0,0.0,28006.0
EUROPE,NETHERLANDS,AMSTERDAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,NETHERLANDS,MOERDIJK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,NETHERLANDS,ROTTERDAM,0.0,33084.0,963.0,0.0,9992.0,44.0,912.0,2583.0,1164.0,48742.0
EUROPE,NETHERLANDS,VLISSINGEN,0.0,0.0,0.0,0.0,159.0,147.0,0.0,0.0,0.0,306.0
EUROPE,SPAIN,BARCELONA,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
