REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO,TOTAL
ASIA,KOREA (SOUTH),GWANGYANG,0.0,18327.0,32.0,0.0,700.0,0.0,0.0,0.0,0.0,19059.0
ASIA,KOREA (SOUTH),INCHEON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASIA,MALAYSIA,JOHOR,0.0,5687.0,0.0,0.0,517.0,0.0,0.0,0.0,0.0,6204.0
ASIA,MALAYSIA,PORT KLANG,0.0,98350.0,800.0,0.0,1760.0,15960.0,125.0,2296.0,0.0,119291.0
ASIA,SAUDI ARABIA,JEDDAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,1700.0
ASIA,SINGAPORE,SINGAPORE,0.0,3512.0,2489.0,0.0,17122.0,105479.0,185.0,3028.0,462.0,132277.0
ASIA,TAIWAN,KAOHSIUNG,0.0,0.0,2616.0,0.0,25637.0,26516.0,0.0,149.0,0.0,54918.0
ASIA,UAE,DUBAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL ASIA,NAN,,0.0,125932.0,22350.0,0.0,65830.0,148444.0,580.0,7173.0,462.0,370771.0
,NAN,,,,,,,,,,,
EUROPE,BELGIUM,ANTWERP,0.0,2796.0,0.0,0.0,0.0,245.0,59.0,458.0,0.0,3558.0
EUROPE,GERMANY,HAMBURG,0.0,0.0,1775.0,0.0,0.0,0.0,0.0,0.0,0.0,1775.0
EUROPE,ITALY,GENOA,0.0,1999.0,0.0,0.0,24.0,0.0,54.0,0.0,0.0,2077.0
EUROPE,ITALY,LEGHORN,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
EUROPE,ITALY,TRIESTE,0.0,30541.0,0.0,0.0,0.0,0.0,2.0,46.0,0.0,30589.0
EUROPE,NETHERLANDS,AMSTERDAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,NETHERLANDS,MOERDIJK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,NETHERLANDS,ROTTERDAM,0.0,36660.0,35.0,0.0,11246.0,44.0,1101.0,1104.0,1164.0,51354.0
EUROPE,NETHERLANDS,VLISSINGEN,0.0,0.0,0.0,0.0,463.0,147.0,0.0,0.0,0.0,610.0
EUROPE,SPAIN,BARCELONA,0.0,0.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0
EUROPE,SPAIN,BILBAO,0.0,5.0,0.0,0.0,160.0,0.0,3.0,0.0,0.0,168.0
EUROPE,SWEDEN,HELSINGBORG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,UK,HULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
