REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO,TOTAL
ASIA,KOREA (SOUTH),INCHEON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASIA,MALAYSIA,JOHOR,0.0,6711.0,0.0,0.0,517.0,0.0,0.0,0.0,0.0,7228.0
ASIA,MALAYSIA,PORT KLANG,0.0,212830.0,549.0,0.0,79.0,9995.0,147.0,4354.0,0.0,227954.0
ASIA,SAUDI ARABIA,JEDDAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0
ASIA,SINGAPORE,SINGAPORE,0.0,4605.0,3569.0,0.0,15809.0,85962.0,250.0,86655.0,332.0,197182.0
ASIA,TAIWAN,KAOHSIUNG,0.0,5728.0,4987.0,0.0,14145.0,734.0,0.0,198.0,0.0,25792.0
ASIA,UAE,DUBAI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL ASIA,NAN,,0.0,240934.0,17060.0,0.0,44899.0,98064.0,457.0,91282.0,332.0,493028.0
,NAN,,,,,,,,,,,
EUROPE,BELGIUM,ANTWERP,0.0,3169.0,0.0,0.0,0.0,730.0,58.0,462.0,0.0,4419.0
EUROPE,GERMANY,HAMBURG,0.0,0.0,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0
EUROPE,ITALY,GENOA,0.0,1999.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,2077.0
EUROPE,ITALY,LEGHORN,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
EUROPE,ITALY,TRIESTE,20.0,34240.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,34284.0
EUROPE,NETHERLANDS,AMSTERDAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,NETHERLANDS,MOERDIJK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,NETHERLANDS,ROTTERDAM,0.0,58233.0,11105.0,0.0,17198.0,0.0,369.0,996.0,132.0,88033.0
EUROPE,NETHERLANDS,VLISSINGEN,0.0,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,197.0
EUROPE,SPAIN,BARCELONA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,SPAIN,BILBAO,0.0,5.0,0.0,0.0,280.0,0.0,3.0,0.0,0.0,288.0
EUROPE,SWEDEN,HELSINGBORG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,UK,HULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EUROPE,UK,LIVERPOOL,0.0,812.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,1061.0
TOTAL EUROPE,NAN,,20.0,98458.0,15785.0,0.0,17727.0,951.0,508.0,1458.0,132.0,135039.0
,NAN,,,,,,,,,,,
NORTH AMERICAS,USA,BALTIMORE,0.0,5061.0,0.0,1.0,3421.0,0.0,89.0,228.0,0.0,8800.0
NORTH AMERICAS,USA,CHICAGO,0.0,0.0,9.0,158.0,0.0,0.0,0.0,0.0,0.0,167.0
NORTH AMERICAS,USA,DETROIT,0.0,1754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1754.0
NORTH AMERICAS,USA,LOS ANGELES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH AMERICAS,USA,MOBILE,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
NORTH AMERICAS,USA,NEW ORLEANS,0.0,3659.0,2586.0,0.0,594.0,0.0,0.0,9748.0,0.0,16587.0
NORTH AMERICAS,USA,OWENSBORO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH AMERICAS,USA,TOLEDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOTAL NORTH AMERICAS,NAN,,0.0,10623.0,2595.0,159.0,4015.0,0.0,89.0,9976.0,0.0,27457.0
,NAN,,,,,,,,,,,
,NAN,,,,,,,,,,,
GLOBAL TOTAL,NAN,,20.0,350015.0,35440.0,159.0,66641.0,99015.0,1054.0,102716.0,464.0,655524.0
,NAN,,,,,,,,,,,
,NAN,,,,,,,,,,,
"© All the information contained within this report is provided for reference purposes only. While the LME endeavours to ensure the accuracy, reliability and completeness of the information, ",NAN,,,,,,,,,,,
"neither the LME, nor any of its affiliates makes any warranty or representation, express or implied, or accepts any responsibility or liability for, the accuracy, completeness, reliability or suitability of the information for any particular purpose. ",NAN,,,,,,,,,,,
"The LME accepts no liability whatsoever to any person for any loss or damage arising from any inaccuracy or omission in the information or from any consequence, decision, action or non-action based on or in reliance upon the information.",NAN,,,,,,,,,,,
"The LME shall not be responsible or be held liable for any party’s act or omission carried out in reliance on, or in connection with, any of the information provided to the LME.",NAN,,,,,,,,,,,
"Distribution, redistribution, reproduction, modification or transmission of the information in whole or in part, in any form or by any means are strictly prohibited without the prior written permission of the LME. ",NAN,,,,,,,,,,,
"The information does not, and is not intended to, constitute investment advice, commentary or a recommendation to make any investment decision.",NAN,,,,,,,,,,,
The LME is not acting for any person to whom it has provided the information. Persons receiving the information are not clients of the LME and accordingly the LME is not responsible for providing any such persons with regulatory or other protections.,NAN,,,,,,,,,,,
"All persons in receipt of the information should obtain independent investment, legal, tax and other relevant advice before making any decisions based on the information.",NAN,,,,,,,,,,,
