REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,SINGAPORE,0,5299.0,612.0,/,13555.0,25742.0,515.0,24381.0,313.0,70417.0
Asia,PORT KLANG,0,135137.0,118.0,/,1399.0,0.0,268.0,1517.0,0.0,138439.0
Asia,REST OF,0,76426.0,9223.0,/,16015.0,2963.0,235.0,175.0,0.0,105037.0
TOTAL ASIA,NAN,0,216862.0,9953.0,0,30969.0,28705.0,1018.0,26073.0,313.0,313893.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,69976.0,28047.0,/,32417.0,0.0,165.0,8220.0,103.0,138928.0
Europe,REST OF,4466,26501.0,1725.0,/,666.0,5105.0,184.0,1581.0,4.0,40232.0
TOTAL Europe,NAN,4466,96477.0,29772.0,0,33083.0,5105.0,349.0,9801.0,107.0,179160.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,11511.0,2549.0,211,2569.0,0.0,51.0,11991.0,0.0,28882.0
TOTAL U.S.A.,NAN,0,11511.0,2549.0,211,2569.0,0.0,51.0,11991.0,0.0,28882.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,4466,324850.0,42274.0,211,66621.0,33810.0,1418.0,47865.0,420.0,521935.0
