Country/Region,Location,Opening Stock,Delivered In,Delivered Out,Closing Stock,Open Tonnage,Cancelled Tonnage,Metal,Date
Belgium,Antwerp,420.0,0.0,0.0,420.0,420.0,0.0,Aluminium Alloy,2025-07-01
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
Italy,Genoa,120.0,0.0,0.0,120.0,120.0,0.0,Aluminium Alloy,2025-07-01
Italy,Leghorn,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
Italy,Trieste,700.0,0.0,0.0,700.0,680.0,20.0,Aluminium Alloy,2025-07-01
Korea (South),Busan,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
Netherlands,Vlissingen,80.0,0.0,0.0,80.0,80.0,0.0,Aluminium Alloy,2025-07-01
Singapore,Singapore,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
Spain,Barcelona,140.0,0.0,0.0,140.0,140.0,0.0,Aluminium Alloy,2025-07-01
Spain,Bilbao,60.0,0.0,0.0,60.0,60.0,0.0,Aluminium Alloy,2025-07-01
Taiwan,Kaohsiung,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Aluminium Alloy,2025-07-01
,,,,,,,,Aluminium Alloy,2025-07-01
,,,,,,,,Aluminium Alloy,2025-07-01
Belgium,Antwerp,3.0,0.0,0.0,3.0,0.0,3.0,Cobalt,2025-07-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Cobalt,2025-07-01
Netherlands,Rotterdam,79.0,0.0,0.0,79.0,0.0,79.0,Cobalt,2025-07-01
Singapore,Singapore,24.0,0.0,0.0,24.0,0.0,24.0,Cobalt,2025-07-01
USA,Baltimore,34.0,0.0,0.0,34.0,0.0,34.0,Cobalt,2025-07-01
,,,,,,,,Cobalt,2025-07-01
,,,,,,,,Cobalt,2025-07-01
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
Germany,Hamburg,3075.0,0.0,0.0,3075.0,3075.0,0.0,Copper,2025-07-01
Italy,Leghorn,50.0,0.0,0.0,50.0,0.0,50.0,Copper,2025-07-01
Italy,Trieste,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
Korea (South),Busan,4950.0,0.0,0.0,4950.0,2075.0,2875.0,Copper,2025-07-01
Korea (South),Gwangyang,26375.0,750.0,0.0,27125.0,4500.0,22625.0,Copper,2025-07-01
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
Malaysia,Johor,25.0,0.0,0.0,25.0,0.0,25.0,Copper,2025-07-01
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
Netherlands,Rotterdam,28225.0,0.0,75.0,28150.0,28150.0,0.0,Copper,2025-07-01
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
Saudi Arabia,Jeddah,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
Singapore,Singapore,6000.0,75.0,0.0,6075.0,5650.0,425.0,Copper,2025-07-01
Spain,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
Spain,Bilbao,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
Taiwan,Kaohsiung,22550.0,1250.0,0.0,23800.0,17900.0,5900.0,Copper,2025-07-01
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
USA,Mobile,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
USA,New Orleans,0.0,0.0,0.0,0.0,0.0,0.0,Copper,2025-07-01
,,,,,,,,Copper,2025-07-01
,,,,,,,,Copper,2025-07-01
Belgium,Antwerp,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
Germany,Hamburg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
Italy,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
Italy,Leghorn,975.0,0.0,0.0,975.0,975.0,0.0,Lead,2025-07-01
Italy,Trieste,250.0,0.0,0.0,250.0,250.0,0.0,Lead,2025-07-01
Korea (South),Busan,150.0,0.0,100.0,50.0,0.0,50.0,Lead,2025-07-01
Korea (South),Gwangyang,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
Korea (South),Incheon,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
Malaysia,Johor,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
Malaysia,Port Klang,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
Netherlands,Amsterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
Netherlands,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
Netherlands,Rotterdam,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
Netherlands,Vlissingen,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
Singapore,Singapore,253975.0,0.0,1825.0,252150.0,189750.0,62400.0,Lead,2025-07-01
Spain,Barcelona,50.0,0.0,0.0,50.0,50.0,0.0,Lead,2025-07-01
Spain,Bilbao,50.0,0.0,0.0,50.0,50.0,0.0,Lead,2025-07-01
Sweden,Helsingborg,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
Taiwan,Kaohsiung,14625.0,0.0,0.0,14625.0,11350.0,3275.0,Lead,2025-07-01
UAE,Dubai,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
UK,Hull,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
UK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
USA,Baltimore,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
USA,Chicago,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
USA,Detroit,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
USA,Los Angeles,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
USA,Mobile,0.0,0.0,0.0,0.0,0.0,0.0,Lead,2025-07-01
