REGION,COUNTRY/REGION,DELIVERY POINT,AA,AL,CU,NA,NI,PB,SN,ZN,CO
Asia,SINGAPORE,0,5299.0,417.0,/,8064.0,110826.0,455.0,108015.0,374.0,233450.0
Asia,KAOHSIUNG,0,30152.0,23160.0,/,3370.0,351.0,0.0,447.0,0.0,57480.0
Asia,GWANGYANG,0,33815.0,19250.0,/,30.0,0.0,0.0,0.0,0.0,53095.0
Asia,REST OF,0,22118.0,41000.0,/,6342.0,2988.0,381.0,3497.0,0.0,76326.0
TOTAL ASIA,NAN,0,91384.0,83827.0,0,17806.0,114165.0,836.0,111959.0,374.0,420351.0
,NAN,,,,,,,,,,
Europe,ROTTERDAM,0,57968.0,8633.0,/,42253.0,0.0,723.0,5892.0,63.0,115532.0
Europe,REST OF,3400,6066.0,7410.0,/,1160.0,1340.0,468.0,873.0,4.0,20721.0
TOTAL Europe,NAN,3400,64034.0,16043.0,0,43413.0,1340.0,1191.0,6765.0,67.0,136253.0
,NAN,,,,,,,,,,
U.S.A.,U.S.A.,/,8037.0,378.0,11,3770.0,0.0,0.0,11501.0,0.0,23697.0
TOTAL U.S.A.,NAN,0,8037.0,378.0,11,3770.0,0.0,0.0,11501.0,0.0,23697.0
,NAN,,,,,,,,,,
GLOBAL TOTAL,NAN,3400,163455.0,100248.0,11,64989.0,115505.0,2027.0,130225.0,441.0,580301.0
